,title,published_at,view_count,duration
503281087,China vs United States - 2019 Overwatch World Cup Finals,2019-11-03T04:03:24Z,46627,1h27m50s
503258220,France vs South Korea - 2019 Overwatch World Cup Bronze Medal,2019-11-03T02:51:19Z,8668,56m38s
503238896,France vs China - 2019 Overwatch World Cup Semifinal,2019-11-03T01:56:39Z,5933,2h2m12s
503191749,South Korea vs United States - 2019 Overwatch World Cup Semifinal,2019-11-02T23:54:58Z,17481,2h7m20s
503139190,Netherlands vs France - 2019 Overwatch World Cup Quarterfinal,2019-11-02T21:45:24Z,3421,1h51m41s
503108616,South Korea vs Denmark - 2019 Overwatch World Cup Quarterfinal,2019-11-02T20:36:09Z,3311,2h17m29s
503039726,Overwatch World Cup - Ceremony of Nations,2019-11-02T18:08:41Z,828,10m11s
503003071,BlizzCon 2019 Overwatch World Cup Group Stage,2019-11-02T16:46:54Z,98334,11h11m4s
502796426,Full Day | 2019 Overwatch World Cup Group Stage,2019-11-02T03:24:46Z,9769,6h43m2s
502565429,2019 Overwatch World Cup Preliminaries,2019-11-01T17:48:17Z,37416,8h31m45s
502327619,Germany vs Hong Kong - 2019 Overwatch World Cup Preliminaries,2019-11-01T01:37:31Z,19404,1h11m44s
502273973,Hong Kong vs Paraguay - 2019 Overwatch World Cup Preliminaries,2019-10-31T23:21:56Z,2202,47m11s
502245310,Australia vs Denmark - 2019 Overwatch World Cup Preliminaries,2019-10-31T22:09:45Z,2353,1h5m19s
502223562,Australia vs New Zealand - 2019 Overwatch World Cup Preliminaries,2019-10-31T21:16:01Z,2517,1h49m3s
502185316,New Zealand vs Austria – 2019 Overwatch World Cup Preliminaries,2019-10-31T19:46:50Z,2267,39m35s
502123223,Overwatch Contenders GauntletㅣGrand FinalㅣElement Mystic vs ATL Academy,2019-10-31T17:16:48Z,26419,8h31m27s
493860936,Overwatch Contenders Gauntlet ㅣFinalsㅣLoser Bracket Final ㅣRunaway vs ATL Academy,2019-10-13T02:31:17Z,11331,4h21m52s
493398176,Overwatch Contenders GauntletㅣLosers Bracketㅣ Match 1 ㅣ ATL Academy vs XL2,2019-10-12T02:40:33Z,4224,7h39m39s
492957962,Overwatch Contenders Gauntlet | Lower Bracketㅣ Match 1 | Team Envy vs XL2 Academy,2019-10-11T02:32:22Z,3477,7h17m45s
489001282,Full Match | San Francisco Shock vs. Vancouver Titans,2019-10-04T00:58:44Z,30433,2h15m2s
488558826,Game 1 SFS @ VAN | Grand Finals,2019-09-30T23:37:11Z,7278,23m26s
488497880,ReWatch | 2019 Season | Grand Finals,2019-09-30T19:45:10Z,32106,13h29m51s
488171425,San Francisco Shock Press Conference | 2019 Grand Finals,2019-09-29T22:54:21Z,2990,42m40s
488160779,Watchpoint: Postshow 2019 | Grand Finals,2019-09-29T22:20:56Z,1667,39m2s
488145598,Game 4 SFS @ VAN | Grand Finals,2019-09-29T21:34:31Z,4563,2h57m15s
488130502,Game 3 SFS @ VAN | Grand Finals,2019-09-29T20:51:57Z,1792,29m3s
488114757,Game 2 SFS @ VAN | Grand Finals,2019-09-29T20:10:01Z,6546,32m43s
488087619,Watchpoint: Preshow 2019 | Grand Finals,2019-09-29T19:05:43Z,1245,39m1s
487593333,Countdown to 2019 Season Grand Finals LIVE in Philly 9.29.19!,2019-09-28T18:15:12Z,9751,23h29m34s
482292655,Full Match | Los Angeles Gladiators vs Vancouver Titans,2019-09-17T01:10:44Z,12150,2h29m9s
482397975,Talent Q&A: Soe | Playoffs | Week 3 Day 4,2019-09-16T22:07:28Z,135,12m17s
482027599,Watchpoint: Postshow 2019 | Playoffs | Week 3 Day 4,2019-09-15T21:40:16Z,1112,22m11s
482023092,Full Match | San Francisco Shock vs. New York Excelsior,2019-09-15T21:27:32Z,11653,2h10m3s
482021856,Game 4 SFS @ NYE | Playoffs | Week 3,2019-09-15T21:24:10Z,875,29m1s
482006700,Game 3 SFS @ NYE | Playoffs | Week 3,2019-09-15T20:45:05Z,706,32m26s
481975713,Talent Q&A: Wolf | Playoffs | Week 3 Day 3,2019-09-15T20:14:08Z,145,10m26s
481994175,Game 2 SFS @ NYE | Playoffs | Week 3,2019-09-15T20:13:30Z,734,26m21s
481976452,Game 1 SFS @ NYE | Playoffs | Week 3,2019-09-15T19:31:56Z,930,24m52s
481966569,Watchpoint: Preshow 2019 | Playoffs | Week 3 Day 4,2019-09-15T19:09:42Z,147,27m0s
481932238,2019 Season | Playoffs | Week 3 | Day 4 |,2019-09-15T18:00:16Z,2364790,13h24m45s
481541720,Watchpoint: Postshow 2019 | Playoffs | Week 3 Day 3,2019-09-14T21:40:00Z,1112,19m50s
481534769,Full Match | Hangzhou Spark vs. San Francisco Shock | Playoffs | Week 3 Day 3,2019-09-14T21:23:05Z,6091,2h13m47s
481533963,Game 4 HZS @ SFS | Playoffs | Week 3,2019-09-14T21:21:11Z,514,35m17s
481496709,Talent Q&A: Monte | Playoffs | Week 3 Day 2,2019-09-14T20:41:04Z,177,8m28s
481516088,Game 3 HZS @ SFS | Playoffs | Week 3,2019-09-14T20:40:08Z,392,30m14s
481496403,Game 2 HZS @ SFS | Playoffs | Week 3,2019-09-14T19:57:09Z,434,24m19s
481484486,Game 1 HZS @ SFS | Playoffs | Week 3,2019-09-14T19:31:19Z,507,27m49s
481470589,Watchpoint: Preshow 2019 | Playoffs | Week 3 Day 3,2019-09-14T19:03:12Z,600,26m59s
481440351,2019 Season | Playoffs | Week 3 | Day 3 |,2019-09-14T18:03:12Z,15059,22h56m50s
481161563,Watchpoint: Postshow 2019 | Playoffs | Week 3 Day 2,2019-09-14T02:27:49Z,951,17m24s
481153775,Full Match | New York Excelsior vs. Vancouver Titans | Playoffs | Week 3 Day 2,2019-09-14T02:08:41Z,12659,3h0m49s
481153127,Game 7 NYE @ VAN | Playoffs | Week 3,2019-09-14T02:07:03Z,954,26m49s
481141173,Game 6 NYE @ VAN | Playoffs | Week 3,2019-09-14T01:38:30Z,638,27m34s
481123834,Game 5 NYE @ VAN | Playoffs | Week 3,2019-09-14T00:58:57Z,509,10m1s
481119401,Game 4 NYE @ VAN | Playoffs | Week 3,2019-09-14T00:48:58Z,553,19m23s
481109259,Game 3 NYE @ VAN | Playoffs | Week 3,2019-09-14T00:24:27Z,636,22m47s
481095214,Game 2 NYE @ VAN | Playoffs | Week 3,2019-09-13T23:53:16Z,707,22m47s
481083978,Game 1 NYE @ VAN | Playoffs | Week 3,2019-09-13T23:25:35Z,766,20m19s
481064208,Talent Q&A: Puckett | Playoffs | Week 3 Day 1,2019-09-13T23:06:02Z,191,7m58s
481075880,Watchpoint: Preshow 2019 | Playoffs | Week 3 Day 2,2019-09-13T23:05:05Z,214,27m5s
481046317,2019 Season | Playoffs | Week 3 | Day 2,2019-09-13T21:54:07Z,25351,19h35m57s
480717206,Watchpoint: Postshow 2019 | Playoffs | Week 3 Day 1,2019-09-13T03:32:22Z,1010,25m57s
480710486,Game 4 GLA @ SFS | Playoffs | Week 3,2019-09-13T03:09:59Z,624,34m56s
480710485,Full Match | Los Angeles Gladiators vs. San Francisco Shock | Playoffs | Week 3 Day 1,2019-09-13T03:09:59Z,5529,1h53m13s
480701531,Game 3 GLA @ SFS | Playoffs | Week 3,2019-09-13T02:43:53Z,344,22m5s
480681801,Game 2 GLA @ SFS | Playoffs | Week 3,2019-09-13T01:51:08Z,433,23m49s
480671758,Game 1 GLA @ SFS | Playoffs | Week 3,2019-09-13T01:25:46Z,595,18m0s
480665815,Full Match | Atlanta Reign vs. Hangzhou Spark | Playoffs | Week 3 Day 1,2019-09-13T01:10:40Z,5388,2h2m5s
480665814,Game 4 ATL @ HZS | Playoffs | Week 3,2019-09-13T01:10:40Z,268,33m32s
480649146,Game 3 ATL @ HZS | Playoffs | Week 3,2019-09-13T00:32:00Z,203,21m27s
480640927,Game 2 ATL @ HZS | Playoffs | Week 3,2019-09-13T00:12:58Z,379,33m16s
480618242,Game 1 ATL @ HZS | Playoffs | Week 3,2019-09-12T23:21:10Z,374,18m43s
480608783,Watchpoint: Preshow 2019 | Playoffs | Week 3 Day 1,2019-09-12T23:02:24Z,170,27m1s
480528533,Game 1 GLA @ VAN | Playoffs | Week 2,2019-09-12T22:02:58Z,277,19m40s
480578389,2019 Season | Playoffs | Week 3 | Day 1 |,2019-09-12T21:51:35Z,23282,23h38m27s
480495211,Talent Q&A: Malik | Playoffs | Week 2 Day 2,2019-09-12T19:47:52Z,99,9m4s
480490900,Talent Q&A: Sideshow | Playoffs | Week 2 Day 4,2019-09-12T18:54:52Z,70,8m41s
480490955,Talent Q&A: Bren | Playoffs | Week 2 Day 3,2019-09-12T18:54:33Z,69,7m5s
478928539,Watchpoint: Postshow 2019 | Playoffs | Week 2 Day 4,2019-09-09T00:46:16Z,1218,26m57s
478920166,Full Match | Atlanta Reign vs. New York Excelsior | Playoffs | Week 2 Day 4,2019-09-09T00:21:39Z,10363,2h35m21s
478917944,Game 6 ATL @ NYE | Playoffs | Week 2,2019-09-09T00:15:04Z,926,28m51s
478905542,Game 5 ATL @ NYE | Playoffs | Week 2,2019-09-08T23:40:48Z,513,12m11s
478899568,Game 4 ATL @ NYE | Playoffs | Week 2,2019-09-08T23:23:04Z,586,17m24s
478894258,Game 3 ATL @ NYE | Playoffs | Week 2,2019-09-08T23:07:15Z,562,14m40s
478882781,Game 2 ATL @ NYE | Playoffs | Week 2,2019-09-08T22:34:18Z,761,28m53s
478875132,Game 1 ATL @ NYE | Playoffs | Week 2,2019-09-08T22:12:15Z,779,24m11s
478863885,Game 6 GLA @ VAN | Playoffs | Week 2,2019-09-08T21:41:05Z,1471,22m1s
478850382,Game 5 GLA @ VAN | Playoffs | Week 2,2019-09-08T21:04:51Z,959,14m54s
478843376,Game 4 GLA @ VAN | Playoffs | Week 2,2019-09-08T20:47:36Z,969,24m17s
478835332,Game 3 GLA @ VAN | Playoffs | Week 2,2019-09-08T20:26:49Z,1153,17m34s
478824026,Game 2 GLA @ VAN | Playoffs | Week 2,2019-09-08T20:00:24Z,1389,22m19s
478803619,Watchpoint: Preshow 2019 | Playoffs | Week 2 Day 4,2019-09-08T19:39:01Z,308,27m1s
478784342,2019 Season | Playoffs | Week 2 | Day 4 | Los Angeles Gladiators vs. Vancouver Titans,2019-09-08T19:19:36Z,33584,18h6m11s
478745503,ReWatch | 2019 Season | Playoffs | Week 2 | Day 3 |,2019-09-08T18:00:00Z,4754,1h18m8s
478524364,Watchpoint: Postshow 2019 | Playoffs | Week 2 Day 3,2019-09-08T05:39:50Z,1360,20m23s
478520502,Full Match | London Spitfire vs. San Francisco Shock | Playoffs | Week 2 Day 3,2019-09-08T05:23:59Z,6971,1h48m18s
478519968,Game 4 LDN @ SFS | Playoffs | Week 2,2019-09-08T05:21:53Z,671,27m58s
478510061,Game 3 LDN @ SFS | Playoffs | Week 2,2019-09-08T04:45:45Z,461,15m33s
478502090,Game 2 LDN @ SFS | Playoffs | Week 2,2019-09-08T04:18:13Z,448,22m38s
478491536,Game 1 LDN @ SFS | Playoffs | Week 2,2019-09-08T03:45:26Z,575,26m56s
478481329,Full Match | Seoul Dynasty vs. Hangzhou Spark | Playoffs | Week 2 Day 3,2019-09-08T03:14:47Z,5742,2h3m36s
478480580,Game 5 SEO @ HZS | Playoffs | Week 2,2019-09-08T03:12:39Z,492,22m35s
478473621,Game 4 SEO @ HZS | Playoffs | Week 2,2019-09-08T02:53:30Z,196,19m17s
478470180,Game 3 SEO @ HZS | Playoffs | Week 2,2019-09-08T02:43:37Z,226,20m39s
478456081,Game 2 SEO @ HZS | Playoffs | Week 2,2019-09-08T02:05:47Z,212,23m45s
478454949,Game 1 SEO @ HZS | Playoffs | Week 2,2019-09-08T02:02:58Z,334,19m1s
478453866,Watchpoint: Preshow 2019 | Playoffs | Week 2 Day 2,2019-09-08T02:00:32Z,119,27m1s
478443498,Full Match | Atlanta Reign vs. San Francisco Shock | Playoffs | Week 2 Day 2,2019-09-08T01:33:18Z,6881,2h54m52s
477976454,Game 6 ATL @ SFS | Playoffs | Week 2,2019-09-08T00:30:38Z,1432,26m37s
478404217,2019 Season | Playoffs | Week 2 | Day 3 |,2019-09-07T23:52:46Z,29857,17h37m16s
478330615,ReWatch | 2019 Season | Playoffs | Week 2 | Day 2 |,2019-09-07T20:57:04Z,6336,1h34m34s
477993109,Watchpoint: Postshow 2019 | Playoffs | Week 2 Day 2,2019-09-07T04:41:33Z,2122,27m34s
477977476,Game 7 ATL @ SFS | Playoffs | Week 2,2019-09-07T04:20:10Z,4538,26m43s
477942384,2019 Season | Playoffs | Week 2 | Day 2 | Atlanta Reign vs. San Francisco Shock,2019-09-07T03:28:18Z,23037,17h26m1s
477920715,Game 5 ATL @ SFS | Playoffs | Week 2,2019-09-07T02:59:11Z,3848,13m9s
477915939,Game 4 ATL @ SFS | Playoffs | Week 2,2019-09-07T02:45:40Z,1525,19m12s
477907664,Game 3 ATL @ SFS | Playoffs | Week 2,2019-09-07T02:22:47Z,1672,18m18s
477896974,Game 2 ATL @ SFS | Playoffs | Week 2,2019-09-07T01:54:26Z,1737,15m56s
477892125,Game 1 ATL @ SFS | Playoffs | Week 2,2019-09-07T01:41:06Z,2364,24m26s
477882624,Full Match | London Spitfire vs. New York Excelsior | Playoffs | Week 2 Day 2,2019-09-07T01:15:34Z,11305,2h5m38s
477881598,Game 5 LDN @ NYE | Playoffs | Week 2,2019-09-07T01:12:54Z,492,22m16s
477870263,Game 4 LDN @ NYE | Playoffs | Week 2,2019-09-07T00:44:40Z,331,17m27s
477863393,Game 3 LDN @ NYE | Playoffs | Week 2,2019-09-07T00:26:16Z,481,22m6s
477835263,Talent Q&A: Emily | Playoffs | Week 2 Day 1,2019-09-06T23:54:27Z,194,9m21s
477850168,Game 2 LDN @ NYE | Playoffs | Week 2,2019-09-06T23:53:45Z,544,26m17s
477841630,Game 1 LDN @ NYE | Playoffs | Week 2,2019-09-06T23:32:07Z,610,18m17s
477831811,Watchpoint: Preshow 2019 | Playoffs | Week 2 Day 2,2019-09-06T23:07:13Z,318,26m45s
477800234,2019 Season | Playoffs | Week 2 | Day 2 |,2019-09-06T21:51:15Z,26576,5h32m54s
477501924,Watchpoint: Postshow 2019 | Playoffs | Week 2 Day 1,2019-09-06T05:19:26Z,1367,29m6s
477491970,Full Match | Los Angeles Gladiators vs. Hangzhou Spark | Playoffs | Week 2 Day 1,2019-09-06T04:38:08Z,14478,3h2m9s
477491969,Game 7 GLA @ HZS | Playoffs | Week 2,2019-09-06T04:38:08Z,838,26m41s
477483674,Game 6 GLA @ HZS | Playoffs | Week 2,2019-09-06T04:10:04Z,350,26m43s
477469695,Game 5 GLA @ HZS | Playoffs | Week 2,2019-09-06T03:29:54Z,305,18m15s
477463537,Game 4 GLA @ HZS | Playoffs | Week 2,2019-09-06T03:09:59Z,365,17m40s
477457476,Game 3 GLA @ HZS | Playoffs | Week 2,2019-09-06T02:52:27Z,404,22m31s
477445594,Game 2 GLA @ HZS | Playoffs | Week 2,2019-09-06T02:17:31Z,435,19m17s
477444207,Game 1 GLA @ HZS | Playoffs | Week 2,2019-09-06T02:13:46Z,529,22m48s
477430049,2019 Season | MVP: sinatraa,2019-09-06T01:37:39Z,424,5m4s
477425306,Game 6 SEO @ VAN | Playoffs | Week 2,2019-09-06T01:25:30Z,630,19m35s
477425305,Full Match | Seoul Dynasty vs. Vancouver Titans | Playoffs | Week 2 Day 1,2019-09-06T01:25:29Z,25498,2h18m12s
477411234,Game 5 SEO @ VAN | Playoffs | Week 2,2019-09-06T00:52:36Z,411,15m49s
477404649,Game 4 SEO @ VAN | Playoffs | Week 2,2019-09-06T00:34:44Z,440,18m6s
477397169,Game 3 SEO @ VAN | Playoffs | Week 2,2019-09-06T00:15:40Z,429,13m24s
477386925,Game 2 SEO @ VAN | Playoffs | Week 2,2019-09-05T23:52:05Z,535,21m49s
477377270,Game 1 SEO @ VAN | Playoffs | Week 2,2019-09-05T23:26:08Z,651,24m9s
477367980,Watchpoint: Preshow 2019 | Playoffs | Week 2 Day 1,2019-09-05T23:01:52Z,878,27m0s
477364636,2019 Season | Rookie of the Year: Haksal,2019-09-05T22:54:52Z,166,7m35s
477352066,2019 Season | Playoffs | Week 2 | Day 1 |,2019-09-05T22:20:25Z,33518,23h9m38s
475466388,Talent Q&A: Semmler | Play-in | Week 1 Day 2,2019-09-01T19:03:14Z,951,12m48s
475175128,Watchpoint: Postshow 2019 | Play-in | Week 1 Day 2,2019-09-01T01:39:51Z,4659,29m42s
475168588,Full Match | Guangzhou Charge vs. Seoul Dynasty | Play-In | Week 1 Day 2,2019-09-01T01:21:54Z,9564,2h42m39s
475167933,Game 6 GZC @ SEO | Play-ins Week 1,2019-09-01T01:20:14Z,729,27m33s
475148201,Game 5 GZC @ SEO | Play-ins Week 1,2019-09-01T00:27:47Z,503,11m37s
475141903,Game 4 GZC @ SEO | Play-ins Week 1,2019-09-01T00:10:30Z,399,20m45s
475141227,Game 3 GZC @ SEO | Play-ins Week 1,2019-09-01T00:08:40Z,571,31m54s
475121968,Game 2 GZC @ SEO | Play-ins Week 1,2019-08-31T23:15:53Z,582,17m29s
475121491,Game 1 GZC @ SEO | Play-ins Week 1,2019-08-31T23:14:29Z,774,25m41s
475105828,Full Match | Shanghai Dragons vs. London Spitfire | Play-In | Week 1 Day 2,2019-08-31T22:32:08Z,10671,3h10m53s
475099177,Game 8 SHD @ LDN | Play-ins Week 1,2019-08-31T22:14:28Z,1013,24m49s
475097616,Game 7 SHD @ LDN | Play-ins Week 1,2019-08-31T22:10:21Z,427,18m12s
475074598,Talent Q&A: Mica | Play-In | Week 1 Day 1,2019-08-31T22:05:48Z,205,8m16s
475083751,Game 6 SHD @ LDN | Play-ins Week 1,2019-08-31T21:35:32Z,462,23m15s
475077876,Game 5 SHD @ LDN | Play-ins Week 1,2019-08-31T21:21:04Z,392,15m33s
475077183,Game 4 SHD @ LDN | Play-ins Week 1,2019-08-31T21:19:21Z,476,28m32s
475056943,Game 3 SHD @ LDN | Play-ins Week 1,2019-08-31T20:34:12Z,521,18m24s
475056174,Game 2 SHD @ LDN | Play-ins Week 1,2019-08-31T20:32:26Z,444,11m10s
475054801,Game 1 SHD @ LDN | Play-ins Week 1,2019-08-31T20:29:30Z,575,18m29s
475053075,Watchpoint: Preshow 2019 | Play-in | Week 1 Day 2,2019-08-31T20:25:45Z,168,27m8s
474983204,ReWatch | 2019 Season | Play-in Tournament | Day 1,2019-08-31T17:58:10Z,40641,7h31m57s
474795064,Watchpoint: Postshow 2019 | Play-in | Week 1 Day 1,2019-08-31T07:10:22Z,321,27m28s
474791258,Game 7 SHD @ PHI | Play-ins Week 1,2019-08-31T06:51:19Z,783,33m47s
474791257,Full Match | Shanghai Dragons vs. Philadelphia Fusion | Play-In | Week 1 Day 1,2019-08-31T06:51:19Z,7085,3h23m0s
474781421,Game 6 SHD @ PHI | Play-ins Week 1,2019-08-31T06:05:07Z,415,22m43s
474772580,Game 5 SHD @ PHI | Play-ins Week 1,2019-08-31T05:27:35Z,404,18m3s
474767944,Game 4 SHD @ PHI | Play-ins Week 1,2019-08-31T05:09:02Z,426,24m26s
474761189,Game 3 SHD @ PHI | Play-ins Week 1,2019-08-31T04:44:24Z,433,25m44s
474749420,Game 2 SHD @ PHI | Play-ins Week 1,2019-08-31T04:05:21Z,582,27m0s
474739504,Game 1 SHD @ PHI | Play-ins Week 1,2019-08-31T03:35:59Z,652,21m28s
474729048,Game 5 CDH @ GZC | Play-ins Week 1,2019-08-31T03:06:00Z,440,16m55s
474729047,Full Match | Chengdu Hunters vs. Guangzhou Charge | Play-In | Week 1 Day 1,2019-08-31T03:06:00Z,3902,1h59m2s
474721214,Game 4 CDH @ GZC | Play-ins Week 1,2019-08-31T02:44:49Z,307,19m22s
474714583,Game 3 CDH @ GZC | Play-ins Week 1,2019-08-31T02:27:28Z,288,22m5s
474698754,Game 2 CDH @ GZC | Play-ins Week 1,2019-08-31T01:48:36Z,384,15m25s
474692082,Game 1 CDH @ GZC | Play-ins Week 1,2019-08-31T01:31:46Z,631,27m8s
474681879,Watchpoint: Preshow 2019 | Play-in | Week 1 Day 1,2019-08-31T01:06:58Z,148,27m2s
474664152,ReWatch | 2019 Season | Stage 4 | Week 5 | Day 2,2019-08-31T00:23:33Z,26092,17h6m28s
472441123,Watchpoint: Postshow 2019 | Stage 4 Week 5 Day 2,2019-08-26T02:47:42Z,5498,27m48s
472432256,Full Match | San Francisco Shock vs. Los Angeles Valiant | Stage 4 Week 5 Day 2,2019-08-26T02:19:07Z,5238,1h37m13s
472431963,Game 4 SFS @ VAL | Stage 4 Week 5,2019-08-26T02:18:12Z,537,24m17s
472431657,Game 3 SFS @ VAL | Stage 4 Week 5,2019-08-26T02:17:17Z,396,18m28s
472412048,Game 2 SFS @ VAL | Stage 4 Week 5,2019-08-26T01:22:22Z,451,17m16s
472404666,Game 1 SFS @ VAL | Stage 4 Week 5,2019-08-26T01:03:15Z,440,22m41s
472395254,Full Match | New York Excelsior vs. Vancouver Titans | Stage 4 Week 5 Day 2,2019-08-26T00:38:20Z,7144,2h8m53s
472394901,Game 5 NYE @ VAN | Stage 4 Week 5,2019-08-26T00:37:22Z,621,20m30s
472384569,Game 4 NYE @ VAN | Stage 4 Week 5,2019-08-26T00:09:15Z,445,23m51s
472379255,Game 3 NYE @ VAN | Stage 4 Week 5,2019-08-25T23:55:37Z,548,27m8s
472378750,Game 2 NYE @ VAN | Stage 4 Week 5,2019-08-25T23:54:17Z,525,20m51s
472378251,Game 1 NYE @ VAN | Stage 4 Week 5,2019-08-25T23:52:57Z,524,17m48s
472346529,Full Match | Atlanta Reign vs. Boston Uprising | Stage 4 Week 5 Day 2,2019-08-25T22:24:18Z,2218,1h35m0s
472346223,Game 4 ATL @ BOS | Stage 4 Week 5,2019-08-25T22:23:29Z,407,28m20s
472335070,Game 3 ATL @ BOS | Stage 4 Week 5,2019-08-25T21:54:56Z,152,23m11s
472329914,Game 2 ATL @ BOS | Stage 4 Week 5,2019-08-25T21:41:28Z,122,15m1s
472329244,Game 1 ATL @ BOS | Stage 4 Week 5,2019-08-25T21:39:41Z,183,15m15s
472311146,Full Match | Hangzhou Spark vs. Shanghai Dragons | Stage 4 Week 5 Day 2,2019-08-25T20:55:29Z,2044,1h36m22s
472310632,Game 4 HZS @ SHD | Stage 4 Week 5,2019-08-25T20:54:09Z,106,24m11s
472299466,Game 3 HZS @ SHD | Stage 4 Week 5,2019-08-25T20:26:40Z,93,19m17s
472292802,Game 2 HZS @ SHD | Stage 4 Week 5,2019-08-25T20:10:58Z,130,18m32s
472292086,Game 1 HZS @ SHD | Stage 4 Week 5,2019-08-25T20:09:22Z,149,19m43s
472289833,Achievement Hunter vs. Funhaus | CO-OP 1v1 Stage 4 Week 5 Day 2,2019-08-25T20:04:13Z,668,21m52s
472288437,Watchpoint: Preshow 2019 | Stage 4 Week 5 Day 2,2019-08-25T20:01:16Z,224,57m6s
472226853,Stage 4 | Week 5 | Day 2,2019-08-25T17:50:20Z,34167,22h34m36s
472023715,Watchpoint: Postshow 2019 | Stage 4 Week 5 Day 1,2019-08-25T05:23:17Z,1439,39m16s
472017726,Game 2 GLA @ VAL | Stage 4 Week 5,2019-08-25T05:00:27Z,1179,25m1s
472014505,Full Match | Los Angeles Gladiators vs. Los Angeles Valiant | Stage 4 Week 5 Day 1,2019-08-25T04:48:49Z,6058,1h50m47s
472014131,Game 4 GLA @ VAL | Stage 4 Week 5,2019-08-25T04:47:29Z,449,25m40s
472008246,Game 3 GLA @ VAL | Stage 4 Week 5,2019-08-25T04:26:40Z,487,22m41s
472007453,Game 1 GLA @ VAL | Stage 4 Week 5,2019-08-25T04:23:59Z,414,21m43s
471980797,Full Match | San Francisco Shock vs. Vancouver Titans | Stage 4 Week 5 Day 1,2019-08-25T03:01:59Z,7001,2h5m41s
471980513,Game 5 SFS @ VAN | Stage 4 Week 5,2019-08-25T03:01:13Z,677,15m54s
471971714,Game 4 SFS @ VAN | Stage 4 Week 5,2019-08-25T02:36:58Z,500,21m59s
471960924,Game 3 SFS @ VAN | Stage 4 Week 5,2019-08-25T02:08:05Z,536,25m37s
471945142,Game 2 SFS @ VAN | Stage 4 Week 5,2019-08-25T01:28:16Z,554,23m15s
471935036,Game 1 SFS @ VAN | Stage 4 Week 5,2019-08-25T01:03:05Z,581,18m15s
471928330,Full Match | Boston Uprising vs. New York Excelsior | Stage 4 Week 5 Day 1,2019-08-25T00:47:03Z,2288,1h39m54s
471927728,Game 4 BOS @ NYE | Stage 4 Week 5,2019-08-25T00:45:36Z,277,27m52s
471916664,Game 3 BOS @ NYE | Stage 4 Week 5,2019-08-25T00:16:06Z,222,23m31s
471904154,Game 2 BOS @ NYE | Stage 4 Week 5,2019-08-24T23:43:51Z,188,12m35s
471897161,Game 1 BOS @ NYE | Stage 4 Week 5,2019-08-24T23:23:55Z,244,22m14s
471890217,Full Match | Atlanta Reign vs. Dallas Fuel | Stage 4 Week 5 Day 1,2019-08-24T23:04:53Z,3314,1h52m38s
471889834,Game 4 ATL @ DAL | Stage 4 Week 5,2019-08-24T23:03:49Z,312,27m8s
471876990,Game 3 ATL @ DAL | Stage 4 Week 5,2019-08-24T22:28:55Z,375,23m0s
471866364,Game 2 ATL @ DAL | Stage 4 Week 5,2019-08-24T22:01:01Z,318,32m49s
471852861,Game 1 ATL @ DAL | Stage 4 Week 5,2019-08-24T21:26:36Z,375,15m7s
471848277,Watchpoint: Preshow 2019 | Stage 4 Week 5 Day 1,2019-08-24T21:15:10Z,197,27m6s
471824822,2019 Season | Stage 4 | Week 5 | Day 1,2019-08-24T20:20:22Z,41647,21h24m33s
469492072,Player Q&A: nero | Guangzhou Charge | Stage 4 Week 4 Day 4,2019-08-19T19:35:40Z,432,3m15s
469246969,Watchpoint: Postshow 2019 | Stage 4 Week 4 Day 4,2019-08-19T03:49:26Z,1889,15m0s
469246533,Full Match | Dallas Fuel vs. Guangzhou Charge | Stage 4 Week 4 Day 4,2019-08-19T03:47:51Z,6922,2h39m50s
469246290,Game 4 DAL @ GZC | Stage 4 Week 4 | Part 2,2019-08-19T03:46:55Z,633,19m11s
469245062,Game 4 DAL @ GZC | Stage 4 Week 4 | Part 1,2019-08-19T03:42:30Z,372,16m50s
469208029,Game 3 DAL @ GZC | Stage 4 Week 4,2019-08-19T01:45:39Z,477,17m48s
469194954,Game 2 DAL @ GZC | Stage 4 Week 4,2019-08-19T01:09:34Z,429,15m4s
469190163,Game 1 DAL @ GZC | Stage 4 Week 4,2019-08-19T00:58:17Z,561,20m1s
469182073,Full Match | Florida Mayhem vs. Toronto Defiant | Stage 4 Week 4 Day 4,2019-08-19T00:36:23Z,1994,1h52m52s
469181502,Game 4 FLA @ TOR | Stage 4 Week 4,2019-08-19T00:34:58Z,151,42m28s
469163435,Game 3 FLA @ TOR | Stage 4 Week 4,2019-08-18T23:48:36Z,123,17m50s
469154231,Game 2 FLA @ TOR | Stage 4 Week 4,2019-08-18T23:23:06Z,149,23m5s
469150675,Game 1 FLA @ TOR | Stage 4 Week 4,2019-08-18T23:13:11Z,179,15m28s
469141702,Full Match | Paris Eternal vs. Washington Justice | Stage 4 Week 4 Day 4,2019-08-18T22:49:02Z,3051,1h48m55s
469138934,Game 4 PAR @ WAS | Stage 4 Week 4,2019-08-18T22:40:55Z,183,22m22s
469128633,Game 3 PAR @ WAS | Stage 4 Week 4,2019-08-18T22:12:16Z,175,24m6s
469113400,Game 2 PAR @ WAS | Stage 4 Week 4,2019-08-18T21:32:32Z,201,20m41s
469105877,Game 1 PAR @ WAS | Stage 4 Week 4,2019-08-18T21:12:49Z,260,22m47s
469095821,Full Match | London Spitfire vs. Atlanta Reign | Stage 4 Week 4 Day 4,2019-08-18T20:47:59Z,3912,1h37m26s
